name,21Feb68_A01-L1_S1_Pooled_R1_001.fastq.gz,21Feb68_A02-L1_S2_Pooled_R1_001.fastq.gz,21Feb68_B01-L1_S3_Pooled_R1_001.fastq.gz,21Feb68_B02-L1_S4_Pooled_R1_001.fastq.gz,21Feb68_C01-L1_S5_Pooled_R1_001.fastq.gz,21Feb68_C02-L1_S6_Pooled_R1_001.fastq.gz,21Feb68_D01-L1_S7_Pooled_R1_001.fastq.gz,21Feb68_D02-L1_S8_Pooled_R1_001.fastq.gz,21Feb68_E01-L1_S9_Pooled_R1_001.fastq.gz,21Feb68_E02-L1_S10_Pooled_R1_001.fastq.gz,21Feb68_F01-L1_S11_Pooled_R1_001.fastq.gz,21Feb68_F02-L1_S12_Pooled_R1_001.fastq.gz,21Feb68_G01-L1_S13_Pooled_R1_001.fastq.gz,21Feb68_G02-L1_S14_Pooled_R1_001.fastq.gz,21Feb68_H01-L1_S15_Pooled_R1_001.fastq.gz
None,5,8,3,6,4,3,0,2,10,0,4,1,11,2,7
None,29,47,23,21,23,12,16,9,23,6,11,9,35,16,18
AGRN,46115,28496,40494,25098,37521,25944,18879,22473,29576,11870,37727,17824,17303,14671,15416
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,273,1230,1179,1772,924,2148,1596,1803,1113,7,1123,19,450,297,166
None,28,57,106,221,117,228,120,207,91,0,130,0,35,5,15
RNF223,79,567,1690,1164,355,1839,275,1458,577,1,454,0,236,0,146
C1orf159,1418,1247,1321,911,926,1072,843,965,1193,381,997,478,810,1802,973
LINC01342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MIR200B,5,4,1,1,0,4,2,1,4,0,4,0,1,0,7
MIR200A,6,4,0,0,5,1,0,1,2,2,0,0,2,0,5
MIR429,10,10,4,3,5,3,5,1,10,0,5,0,4,0,3
None,79,49,37,7,27,30,25,19,49,0,37,0,24,2,22
TTLL10-AS1,3,2,5,1,7,5,10,1,7,3,3,8,1,12,2
TTLL10,10,22,15,1,11,5,18,6,9,38,11,60,9,42,8
TNFRSF18,9,393,46,10,38,24,125,20,22,63,25,18,82,100,18
TNFRSF4,6,216,39,28,53,30,260,24,12,103,27,195,69,193,29
SDF4,6804,6162,6145,6081,6820,6258,5793,5568,4645,3438,6440,4597,4094,5429,3571
B3GALT6,1779,1336,1004,940,493,685,588,586,1020,436,488,526,689,649,950
C1QTNF12,90,54,230,140,389,151,146,141,131,21,394,143,38,94,22
None,21,17,86,17,59,32,15,31,54,13,100,19,15,25,7
UBE2J2,2739,5762,2328,4356,1954,4155,5754,3886,2207,918,2160,1336,3691,1584,3697
LINC01786,22,22,19,18,6,27,48,36,26,28,19,24,28,45,8
SCNN1D,155,216,114,150,97,154,337,164,197,487,148,379,163,2504,104
ACAP3,4802,5339,3235,2721,2341,2361,4221,2447,2750,1989,2313,2201,3589,13770,2940
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PUSL1,1109,2106,952,1661,814,1257,2168,1212,744,171,923,181,1274,461,1331
INTS11,5422,7381,4863,5227,5777,4844,4897,4955,4737,2294,6234,3070,4804,6772,4539
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,131,199,143,156,213,149,119,137,186,51,217,92,156,115,132
CPTP,568,621,393,570,369,478,389,347,463,783,431,1121,352,1031,447
TAS1R3,14,26,6,7,23,6,14,7,30,11,16,36,12,37,34
DVL1,3323,3434,3247,3418,2869,3239,2313,2830,2536,1567,3047,2368,2435,3400,2608
None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MXRA8,11520,11271,9906,8678,10624,9757,10433,8145,8807,793,9455,911,7458,1914,8059
AURKAIP1,3868,3880,2695,2911,2991,2716,3368,2413,2122,1273,2848,1612,2429,2534,2599
NDUFB4P8,6,1,0,1,2,2,6,0,3,0,0,0,0,6,1
CCNL2,14198,15639,11253,10270,9593,8722,10602,9368,15540,6949,10140,11127,12248,15288,8300
MRPL20-AS1,1463,1501,753,929,430,1165,1057,1138,1260,646,484,729,1086,665,1028
MRPL20,3588,4220,2344,2694,1396,2741,3177,2609,2168,1369,1510,1655,3319,2163,2446
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL20-DT,194,125,110,67,113,71,177,66,202,59,135,97,121,165,88
ANKRD65,1389,1702,1787,1302,1263,1556,758,1412,960,232,1228,424,1201,462,1027
ANKRD65-AS1,29,32,20,17,20,14,32,14,28,14,15,34,19,27,10
TMEM88B,40,29,37,11,48,11,12,14,45,2,30,16,7,7,13
LINC01770,81,70,67,60,37,80,47,83,132,32,44,57,54,66,47
VWA1,8029,3839,7628,3799,3910,4919,1924,3980,6522,2691,3446,3880,2319,3298,3041
ATAD3C,174,409,227,74,239,82,133,88,284,133,227,242,189,171,161
ATAD3B,2750,3455,1789,2222,1999,2097,3312,2109,1619,931,2021,1128,2194,3237,2285
ATAD3A,2162,1890,1448,1483,1198,1380,1849,1371,1075,402,1182,452,1399,1049,1414
TMEM240,57,87,122,85,96,82,63,89,107,121,122,207,67,604,80
SSU72,5411,5268,3896,3895,4159,3716,4187,3418,3640,2099,3865,3181,3580,3119,3575
None,34,36,7,28,25,54,178,44,51,18,26,48,36,23,38
None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNDC10,195,32,138,163,181,239,114,185,263,32,253,37,30,208,51
None,227,159,127,125,173,204,106,179,198,161,188,220,106,265,93
MIB2,3024,2479,2652,2907,3091,2369,2112,2199,2509,1404,2985,1642,1602,5078,1800
MMP23B,20,39,31,14,32,23,24,9,27,0,37,2,11,19,23
CDK11B,1830,2512,1522,2142,1268,2057,2395,2106,1395,894,1429,1178,1952,1276,1179
None,1,1,0,0,0,2,0,0,0,0,1,1,0,5,1
SLC35E2B,5544,2992,4242,3247,3318,3277,3168,3250,4279,955,4049,1524,2555,1071,1958
None,152,67,125,81,143,53,112,62,132,21,164,21,58,4,42
None,37,32,49,18,52,29,72,33,62,6,34,7,32,0,19
MMP23A,6,2,1,3,2,0,3,2,1,0,1,0,2,8,0
CDK11A,166,185,113,174,133,153,250,116,133,174,171,209,159,321,79
None,48,21,24,13,19,12,13,15,44,48,18,80,7,15,21
None,288,127,128,91,110,107,93,109,228,157,97,89,104,31,95
SLC35E2A,116,60,52,47,57,51,59,43,105,83,59,73,55,17,42
NADK,3805,4274,3099,3561,2309,3173,3303,3156,2675,1443,2405,2104,3106,1245,2783
GNB1,23559,31518,23869,21884,22458,23084,19962,21909,22059,13981,22829,22343,22826,10686,18568
GNB1-DT,8,33,9,17,9,15,39,14,10,3,7,5,22,16,15
CALML6,73,40,68,31,64,38,19,44,61,62,81,25,39,197,20
TMEM52,58,21,113,228,955,241,50,244,68,5,736,8,20,49,14
CFAP74,6,0,29,193,58,103,12,138,74,278,74,14,2,171,1
None,0,2,3,6,8,2,14,5,5,6,8,1,0,73,0
GABRD,1,0,14,45,113,57,9,48,19,188,128,124,0,2691,1
PRKCZ-DT,5,1,0,2,4,6,9,7,2,0,4,0,1,0,1
PRKCZ,2530,3300,3752,6024,3762,5866,2871,5549,2923,137,3854,140,2359,738,2319
None,11,16,27,13,31,13,26,14,27,0,28,1,24,2,19
PRKCZ-AS1,459,343,459,283,312,256,270,263,493,30,371,28,229,195,253
FAAP20,2261,2010,1824,1699,1780,1732,1612,1464,1858,613,1827,926,1230,1788,1437
None,0,0,0,0,0,0,0,0,3,0,1,3,0,3,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKI,4259,2502,3596,2242,3025,2486,1267,2011,3944,2955,3216,4269,1649,1708,1824
MORN1,645,466,381,384,204,352,245,332,563,192,215,165,347,439,406
None,8,2,4,0,0,0,0,3,2,0,0,3,1,13,3
None,217,79,60,35,18,35,16,40,175,48,20,62,59,140,85
None,5,1,4,0,0,0,0,3,5,6,1,4,2,46,2
RER1,5495,5331,4062,4142,3813,3951,3567,3465,4117,1815,4045,2410,4055,1881,3351
PEX10,1289,1273,810,791,560,787,837,748,774,323,560,560,909,369,906
PLCH2,48,50,44,37,53,48,60,31,49,84,79,89,16,1855,21
None,1,4,1,0,5,0,2,0,0,1,3,2,1,7,1
None,1,1,0,0,1,0,2,0,1,0,3,1,2,10,2
PANK4,1696,2221,1430,1797,1383,1879,2156,1768,1359,658,1661,801,1571,845,1358
HES5,1,9,9,4,12,9,18,2,6,72,13,29,7,85,1
None,15,34,27,29,67,59,73,44,36,73,77,76,20,251,18
TNFRSF14-AS1,0,5,5,3,13,7,10,3,4,404,19,869,2,363,2
TNFRSF14,14,39,58,67,107,92,96,115,22,3555,160,6487,46,8635,15
None,1,3,0,0,3,2,2,0,0,7,0,17,1,7,0
None,1,15,1,1,2,1,10,2,3,19,1,55,6,64,3
PRXL2B,1426,1510,1889,1922,1575,2394,1835,1991,1543,1096,1834,1436,1148,1016,875
MMEL1,6,5,6,6,6,3,9,8,1,14,6,10,3,27,3
MMEL1-AS1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0
TTC34,30,13,17,7,11,4,16,4,22,20,11,50,11,95,12
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDM16-DT,0,4,0,0,1,1,3,0,2,95,1,187,2,438,4
PRDM16,8,86,14,24,13,21,75,17,19,116,15,234,54,276,39
None,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
None,0,0,0,0,0,1,0,0,0,7,1,4,1,13,0
None,1,0,0,0,1,0,2,0,1,3,0,7,2,10,0
ARHGEF16,2382,6125,3370,4235,3022,4485,4804,4279,2814,335,3449,377,3687,399,3434
None,14,27,5,10,5,2,7,3,22,2,11,4,13,2,14
MEGF6,8757,6387,7789,4284,5826,5934,4945,5193,8868,2648,6863,4532,4431,3937,3746
MIR551A,2,1,0,1,1,2,0,2,1,0,1,0,3,0,4
None,28,9,16,8,11,7,79,11,16,31,16,24,14,120,0
TPRG1L,2309,1195,1422,1255,1317,1068,1281,998,1765,1512,1610,2111,788,2462,724
WRAP73,1767,1523,1359,1450,1347,1471,1449,1466,1275,750,1565,854,1177,821,955
TP73,276,384,302,500,248,435,249,466,208,4,293,19,399,20,276
TP73-AS3,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0
TP73-AS2,0,0,1,0,0,0,0,2,0,0,1,0,1,0,3
TP73-AS1,2616,2008,2176,1920,1372,2031,1741,1909,2470,885,1789,1259,1587,901,1374
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC27,10,5,6,0,2,5,5,7,24,5,3,1,7,2,6
SMIM1,170,66,68,45,43,39,39,47,58,9,61,14,60,17,62
LRRC47,3630,4994,3193,4764,1977,4558,4795,4364,3584,1289,2433,1727,3856,1718,3368
RN7SL574P,7,6,4,6,14,2,7,4,6,2,15,8,3,2,3
None,118,57,84,104,100,74,86,68,99,34,102,44,77,35,36
CEP104,2070,4194,1868,3387,1196,2394,2788,2329,2061,1098,1341,1454,3056,726,2305
DFFB,629,342,466,813,256,750,442,726,464,239,295,383,404,410,265
C1orf174,1919,1339,1595,1645,2076,1585,1144,1523,1686,503,2114,645,1170,597,843
LINC01134,20,8,2,3,1,2,14,6,13,8,5,4,6,6,13
LINC01346,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0
LINC01345,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJAP1,63,202,42,57,30,23,154,26,37,44,27,97,134,340,135
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NPHP4,1129,730,1061,1681,766,1480,758,1475,1080,538,756,563,496,960,498
None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNAB2,539,251,714,732,623,689,433,673,712,511,793,854,232,3285,154
CHD5,67,63,115,102,213,79,126,71,106,1518,245,773,47,10523,37
RPL22,21487,12846,16826,14293,19255,16921,8535,15708,19896,5201,21179,7525,12887,4955,6585
RNF207-AS1,19,19,6,16,14,31,25,22,20,7,11,4,15,37,10
RNF207,3250,5293,2136,1327,710,1969,1815,1790,3753,225,820,387,3712,1106,3299
ICMT,8319,5651,5820,6023,2984,6834,4949,6516,4987,1486,3358,1922,5502,1531,4063
ICMT-DT,29,11,12,14,16,5,15,10,13,1,13,2,10,2,11
HES3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,257,232,178,100,173,117,50,123,226,92,138,170,115,770,94
ACOT7,4124,3277,3773,1808,2693,2568,3941,2124,3009,374,3130,425,2542,802,2214
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HES2,1729,800,2030,525,2069,866,498,712,2121,1,2321,2,711,3,574
ESPN,336,291,1166,1584,1416,1730,750,1418,1655,12,1506,10,270,62,206
MIR4252,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
None,3,0,7,2,2,1,2,1,8,0,5,0,0,0,0
TNFRSF25,393,174,308,123,333,105,119,83,448,749,289,934,129,3559,127
PLEKHG5,1431,862,1544,831,1502,1135,1161,946,1585,2368,1776,2668,735,2604,566
NOL9,1390,1613,1100,1655,716,1613,2451,1442,1185,480,816,653,1625,850,2261
RNU6-731P,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
None,16,3,7,9,4,5,3,5,9,14,3,13,5,52,10
TAS1R1,3,1,1,0,5,5,17,0,1,25,4,0,2,7,6
ZBTB48,1250,3649,950,2309,738,1998,2885,2037,1145,733,885,796,2314,2132,2125
KLHL21,2020,2570,1516,1639,1622,1860,7295,1364,2245,624,1822,828,1443,736,962
PHF13,2687,3157,2582,2058,2113,1827,1886,1635,2571,454,2202,483,1830,336,1473
THAP3,625,2512,911,3017,836,2961,4460,2776,804,512,899,569,2049,680,1494
DNAJC11,3507,5100,3061,4447,1077,4058,4627,4092,2988,684,1334,847,4208,514,2767
LINC01672,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0
CAMTA1-DT,29,4,3,5,11,13,75,14,19,2,11,9,10,20,4
CAMTA1,1589,2809,1677,2245,1589,2338,2177,2256,1632,1734,1803,2896,2254,1833,1627
None,0,0,1,0,0,1,0,0,0,0,1,0,1,0,3
None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0,0,0,0,7,0,1,0,11,0
None,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
CAMTA1-IT1,3,1,0,1,6,1,2,5,2,6,6,6,0,5,1
CAMTA1-AS2,0,0,3,0,0,0,0,0,0,1,1,0,4,0,0
CAMTA1-AS1,0,0,1,1,0,1,2,0,0,0,2,1,1,3,0
None,4,3,3,2,6,1,1,2,7,34,2,41,2,120,1
None,3,4,10,2,3,3,1,5,4,34,3,33,1,71,3
None,5,7,12,2,13,6,5,4,2,42,4,51,14,68,4
VAMP3,6034,3271,4371,2673,2888,3267,1410,3018,5244,3955,3360,8832,2813,3187,2129
None,35,18,56,26,37,30,31,37,41,29,56,48,27,14,15
PER3,154,209,132,217,84,169,732,150,196,468,106,5396,207,1957,91
None,2,4,7,1,5,4,8,4,5,8,2,42,2,21,1
UTS2,53,14,77,48,61,52,26,41,86,0,119,0,22,0,18
TNFRSF9,182,12653,1313,1966,393,2249,2693,2037,778,6,449,13,6544,7,3701
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARK7,9775,9207,6602,7086,6431,7779,7925,7376,5865,2764,7036,3934,7757,3495,4490
Y_RNA,2,3,5,5,2,4,22,4,11,3,9,1,5,1,9
ERRFI1,14832,35491,34031,14765,16644,21424,13272,19161,23227,269,16040,571,21973,453,12499
ERRFI1-DT,21,24,13,2,22,6,18,8,24,5,6,4,18,8,14
RPL7AP18,2,0,0,0,1,0,1,0,1,1,1,2,0,0,0
None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RNU1-7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01714,3,7,3,2,3,2,4,0,1,0,2,0,3,0,1
None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
RNU6-991P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC45A1,47,105,103,96,59,100,73,99,65,126,51,175,52,317,67
Y_RNA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
RERE,8598,13453,8806,9315,3932,10006,12698,10259,7298,4394,4323,5825,11330,4232,10724
RERE-AS1,5,2,1,1,3,2,10,4,4,16,6,15,3,29,13
None,0,0,1,0,0,1,1,0,0,14,0,8,0,19,0
None,0,1,1,0,0,0,0,0,1,0,1,0,0,5,2
None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
RPL7P11,1,0,2,0,2,3,0,2,4,1,4,0,1,0,4
RPL7P7,1,0,0,0,3,0,0,0,3,0,1,0,6,1,4
Y_RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
None,0,0,1,1,0,0,0,0,0,0,0,1,1,1,7
None,0,0,1,0,0,1,1,0,1,14,4,4,1,0,5
RPL23AP19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENO1,79610,71232,152566,311093,204731,274282,151028,270701,269341,6111,225443,8464,49893,10020,37997
None,23,13,84,54,55,50,12,32,144,8,62,4,14,7,6
MIR6728,2,0,3,8,3,3,0,2,13,0,0,0,0,1,0
None,7,18,193,161,151,292,28,305,149,0,217,3,10,0,9
ENO1-AS1,7,10,2,0,1,6,10,5,8,3,2,1,16,4,9
RNU6-304P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
HMGN2P17,74,18,24,23,13,18,17,23,15,22,11,15,30,38,21
None,1,3,0,0,0,0,1,2,4,3,0,3,2,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA6,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
RN7SL451P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0
SLC2A5,5,0,7,6,3,2,4,1,3,1890,6,81,1,382,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR157,460,191,531,447,436,303,198,324,504,71,473,150,162,109,104
None,84,16,51,41,80,47,31,48,92,11,98,9,22,2,4
MIR34AHG,6,3,13,10,16,6,7,8,6,0,18,3,3,0,6
LNCTAM34A,198,142,142,67,90,96,48,87,180,8,93,24,82,31,71
H6PD,4347,1676,3114,1905,1531,2639,1228,2443,3291,2033,1803,2282,1569,1606,1322
SPSB1,1445,1821,1273,1156,1559,1172,1750,934,2000,105,1366,138,1436,91,1220
RNA5SP40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A33,621,674,514,887,462,879,744,902,284,177,478,237,598,262,432
None,30,3,12,17,13,15,19,20,19,6,27,7,9,0,3
TMEM201,1264,606,840,881,744,802,728,695,742,414,693,438,493,597,539
PIK3CD,1785,4045,3292,1976,3268,2673,3307,2112,3546,1565,3381,1279,1989,1876,1097
PIK3CD-AS1,0,0,1,0,0,0,0,0,0,4,0,2,0,2,2
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIK3CD-AS2,156,82,141,55,135,88,39,88,137,12,128,13,55,19,48
CLSTN1,12343,6274,12499,9690,12632,11800,8641,10425,11722,6216,13592,7515,5641,6921,4744
MZT1P1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
None,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
CTNNBIP1,3053,1230,2608,1571,2385,1990,1123,1801,2293,962,2314,1381,1209,985,1075
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZIC,1916,2370,1493,2126,949,1996,1586,1882,1809,706,1126,992,2096,417,1111
None,13,52,22,32,13,24,66,29,34,7,11,2,35,9,25
NMNAT1,492,956,596,918,252,1038,590,929,647,282,392,371,922,186,554
RN7SKP269,4,21,4,6,5,2,12,7,8,0,4,1,11,3,4
MIR5697,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBP7,80,77,97,62,109,91,163,85,165,76,169,95,71,39,40
UBE4B,6435,9621,5923,8420,3957,8288,6981,8164,5289,994,4473,1653,7773,1235,5788
None,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
PGAM1P11,0,0,1,1,1,0,1,0,2,2,3,1,3,0,4
RNU6-828P,5,0,5,2,6,3,5,4,2,2,7,0,4,0,3
KIF1B,8519,14544,9969,9802,5686,10927,8744,10664,9651,2370,7286,3596,11266,3101,8540
